"n.acc","Trophy",AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
"Abludomelita obtusata","De",102788,exact,Abludomelita obtusata,102788,Abludomelita obtusata,Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,,obtusata,
"Abra alba","SuDe",141433,exact,Abra alba,141433,Abra alba,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,alba,
"Abra nitida","SuDe",141435,exact,Abra nitida,141435,Abra nitida,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,nitida,
"Abra prismatica","SuDe",141436,exact,Abra prismatica,141436,Abra prismatica,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,prismatica,
"Abra segmentum","De",141438,exact,Abra segmentum,141438,Abra segmentum,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,segmentum,
"Abra tenuis","SuDe",141439,exact,Abra tenuis,141439,Abra tenuis,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,tenuis,
"Acanthocardia echinata","Su",138992,exact,Acanthocardia echinata,138992,Acanthocardia echinata,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,,echinata,
"Acanthocardia tuberculata","Su",381057,exact,Acanthocardia tuberculata,381057,Acanthocardia tuberculata,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,,tuberculata,
"Acanthodoris pilosa","CaSc",140627,exact,Acanthodoris pilosa,140627,Acanthodoris pilosa,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,,pilosa,
"Achelia echinata","Om",134599,exact,Achelia echinata,134599,Achelia echinata,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,,echinata,
"Acrocnida brachiata","Su",236130,exact,Acrocnida brachiata,236130,Acrocnida brachiata,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Acrocnida,,brachiata,
"Acteon tornatilis","CaSc",138691,exact,Acteon tornatilis,138691,Acteon tornatilis,Animalia,Mollusca,Gastropoda,,Acteonidae,Acteon,,tornatilis,
"Adalaria proxima","CaSc",140629,exact,Adalaria proxima,140629,Adalaria proxima,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Adalaria,,proxima,
"Aeolidia papillosa","CaSc",138709,exact,Aeolidia papillosa,138709,Aeolidia papillosa,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,,papillosa,
"Aequipecten opercularis","Su",140687,exact,Aequipecten opercularis,140687,Aequipecten opercularis,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,,opercularis,
"Alderia modesta","He",141555,exact,Alderia modesta,141555,Alderia modesta,Animalia,Mollusca,Gastropoda,,Limapontiidae,Alderia,,modesta,
"Alitta succinea","De",234850,exact,Alitta succinea,234850,Alitta succinea,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,,succinea,
"Alitta virens","Om",234851,exact,Alitta virens,234851,Alitta virens,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,,virens,
"Ampelisca armoricana","De",101888,exact,Ampelisca armoricana,101888,Ampelisca armoricana,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,armoricana,
"Ampelisca brevicornis","De",101891,exact,Ampelisca brevicornis,101891,Ampelisca brevicornis,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,brevicornis,
"Ampelisca diadema","De",101896,exact,Ampelisca diadema,101896,Ampelisca diadema,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,diadema,
"Ampelisca macrocephala","De",101908,exact,Ampelisca macrocephala,101908,Ampelisca macrocephala,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,macrocephala,
"Ampelisca spinipes","De",101928,exact,Ampelisca spinipes,101928,Ampelisca spinipes,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,spinipes,
"Ampelisca tenuicornis","De",101930,exact,Ampelisca tenuicornis,101930,Ampelisca tenuicornis,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,tenuicornis,
"Ampelisca typica","De",101933,exact,Ampelisca typica,101933,Ampelisca typica,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,typica,
"Ampharete acutifrons","De",129775,exact,Ampharete acutifrons,129775,Ampharete acutifrons,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,,acutifrons,
"Amphipholis squamata","Om",125064,exact,Amphipholis squamata,125064,Amphipholis squamata,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,,squamata,
"Amphiura chiajei","De",125073,exact,Amphiura chiajei,125073,Amphiura chiajei,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,,chiajei,
"Amphiura filiformis","SuDe",125080,exact,Amphiura filiformis,125080,Amphiura filiformis,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,,filiformis,
"Anonyx sarsi","CaSc",102516,exact,Anonyx sarsi,102516,Anonyx sarsi,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx,,sarsi,
"Antedon bifida","Su",124201,exact,Antedon bifida,124201,Antedon bifida,Animalia,Echinodermata,Crinoidea,Comatulida,Antedonidae,Antedon,,bifida,
"Aonides paucibranchiata","De",131107,exact,Aonides paucibranchiata,131107,Aonides paucibranchiata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aonides,,paucibranchiata,
"Aphelochaeta marioni","De",129938,exact,Aphelochaeta marioni,129938,Aphelochaeta marioni,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,marioni,
"Aphrodita aculeata","CaSc",129840,exact,Aphrodita aculeata,129840,Aphrodita aculeata,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita,,aculeata,
"Aplysia punctata","He",138758,exact,Aplysia punctata,138758,Aplysia punctata,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,,punctata,
"Aporrhais pespelecani","De",138760,exact,Aporrhais pespelecani,138760,Aporrhais pespelecani,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais,,pespelecani,
"Arcopagia crassa","SuDe",141577,exact,Arcopagia crassa,141577,Arcopagia crassa,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Arcopagia,,crassa,
"Arctica islandica","SuDe",138802,exact,Arctica islandica,138802,Arctica islandica,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,Arctica,,islandica,
"Arenicola defodiens","SuDe",129867,exact,Arenicola defodiens,129867,Arenicola defodiens,Animalia,Annelida,Polychaeta,,Arenicolidae,Arenicola,,defodiens,
"Arenicola marina","SuDe",129868,exact,Arenicola marina,129868,Arenicola marina,Animalia,Annelida,Polychaeta,,Arenicolidae,Arenicola,,marina,
"Arrhis phyllonyx","De",102870,exact,Arrhis phyllonyx,102870,Arrhis phyllonyx,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Arrhis,,phyllonyx,
"Asbjornsenia pygmaea","De",879714,exact,Asbjornsenia pygmaea,879714,Asbjornsenia pygmaea,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Asbjornsenia,,pygmaea,
