"","tax","mw","gmw","n"
"1","Abludomelita obtusata",0.000300203618176463,0.00030020107034078,12
"2","Abra alba",0.00285634366221976,0.00047443543555125,425
"3","Abra nitida",0.00167072112012864,0.000713345076049356,66
"4","Abra prismatica",0.0056885147907734,0.00246353556606033,75
"5","Abra tenuis",5.72000572000572e-05,4.5614722330843e-05,3
"6","Abyssoninoe hibernica",0.00335244816294816,0.00204625237694342,12
"7","Acanthocardia",0.144298761546325,0.000756206879113918,15
"8","Acidostoma obesum",0.000391015490658352,0.000351583009092109,14
"9","Acrocnida brachiata",0.0307556759932414,0.0109911190151963,126
"10","Acteon tornatilis",0.00112720079170079,0.000678130227929726,4
"11","Alitta virens",0.181074615384615,0.181074615384615,1
"12","Altenaeum dawsoni",7.10397359167648e-05,6.69166084860037e-05,9
"13","Alvania lactea",0.00112253453727369,0.00110999281289718,3
"14","Ampelisca brevicornis",0.00353108969242504,0.00066489341995051,127
"15","Ampelisca macrocephala",0.000933333333333327,0.000928317766722549,3
"16","Ampelisca spinipes",0.000300000000000012,0.000300000000000012,1
"17","Ampelisca tenuicornis",0.000295401565339771,0.00028056435490135,171
"18","Ampharete",0.00147699675897384,0.000520664393154575,21
"19","Amphilochus",0.000298200148200154,0.000298194716452342,2
"20","Amphipholis squamata",0.000202333333333326,0.000202333333333326,1
"21","Amphitrite",0.000167457247139557,0.00013498023087318,2
"22","Amphiura chiajei",0.00311052574142624,0.000794680889001322,62
"23","Amphiura filiformis",0.00460396558011548,0.00283599888379331,649
"24","Angulus",0.000163622721028971,9.08268918631768e-05,5
"25","Anobothrus gracilis",0.00125534742968734,0.000560583473459481,2
"26","Anthozoa",0.0905282992338068,0.00493575900372174,342
"27","Antinoella finmarchica",0.013904,0.013904,1
"28","Aonides paucibranchiata",0.000424888416295928,0.000271746569819991,63
"29","Aoridae",0.000276101694982949,0.000263733786281459,9
"30","Aphelochaeta marioni",0.000574897730839802,0.000487030681128792,26
"31","Apherusa",0.000298730975611969,0.000298725463718136,24
"32","Aphrodita",0.226507529633495,0.00184767987104021,49
"33","Apistobranchus tullbergi",0.000596700596700597,0.000562574717686735,2
"34","Aporrhais pespelecani",0.143786923076923,0.143786923076923,1
"35","Arcopagia crassa",0.000343200343200343,0.000343200343200343,1
"36","Arctica islandica",0.108407911199741,0.000197317483243227,91
"37","Argissa hamatipes",0.000271730829263234,0.000248072675061807,54
"38","Aricidea cerrutii",0.000140153817382767,0.000139795406298092,2
"39","Aricidea minuta",0.00050006736130449,0.000267419706162531,181
"40","Aricidea suecica",0.000150562999796336,0.000123156629335289,18
"41","Ascidiacea",0.615116390464924,0.00915898563889299,5
"42","Astarte montagui",0.00247693264433359,0.00018821473628533,3
"43","Asterias",0.284509508977847,0.00439197319478995,22
"44","Astropecten",0.095643762602358,0.00487487753953971,55
"45","Atherospio disticha",0.00030030303030303,0.000146299775856762,3
"46","Atherospio guillei",0.000385521864754602,0.000280818904442438,50
"47","Atylus",0.000197430917430917,0.000170833337449191,2
"48","Balanus crenatus",2.49999999999945e-05,2.49999999999945e-05,1
"49","Bathyporeia elegans",0.000285666395528456,0.000272661790471106,828
"50","Bathyporeia gracilis",0.000300000000000012,0.000300000000000012,1
"51","Bathyporeia guilliamsoniana",0.000371865617311156,0.000336223890754517,529
"52","Bathyporeia nana",0.000114804311634356,9.15227196309631e-05,21
"53","Bathyporeia pelagica",0.000391656857791694,0.000278579497339038,13
"54","Bathyporeia sarsi",0.000300000000000012,0.000300000000000012,1
"55","Bathyporeia tenuipes",0.00028076291970383,0.000265719142873477,124
"56","Bela nebula",0.000998400998400999,0.000998400998400999,1
"57","Bodotria scorpioides",0.000239999999999994,0.000239999999999994,1
"58","Bopyrus squillarum",0.0128622128622129,0.0109264189748126,2
"59","Brada villosa",0.00422460409110409,0.00147805601539645,2
"60","Branchiostoma lanceolatum",0.00332379420625162,0.0010954047305764,53
"61","Brissopsis lyrifera",0.464207257581118,0.280287676754625,39
"62","Buccinum undatum",7.75556900000002,0.073503224510092,3
"63","Bylgides sarsi",0.000464092604092604,0.000407060833999433,4
"64","Callianassa",0.0339499239507295,0.0104053323282639,892
"65","Campylaspis glabra",0.000198422418841052,0.000198422310116342,2
"66","Capitella capitata",0.000549252583454864,0.000330809996881768,144
"67","Caprellidae",0.000242925776795905,0.000226006654659501,78
"68","Carcinus maenas",1.5976677976678,0.1867668147503,5
