"","data","sta","x","y","BPC"
"1","REBENT","REBENT203",9.1537,41.3894,12628.622191107
"2","REBENT","REBENT204",9.2436,41.4253,5898.83776237382
"3","REBENT","REBENT201",9.008,41.4638,2543.04451384737
"4","REBENT","REBENT202",9.009,41.4639,1584.03853949808
"5","REBENT","REBENT207",9.2856,41.4677,3169.67655324471
"6","REBENT","REBENT206",9.2854,41.468,1185.89106294566
"7","REBENT","REBENT208",9.3146,41.6086,2977.22833934108
"8","REBENT","REBENT200",8.7964,41.8903,4828.29778047766
"9","REBENT","REBENT196",8.69533,41.90267,1556.33239942682
"10","REBENT","REBENT195",8.6086,42.1217,1109.35685163719
"11","REBENT","REBENT215",9.5806,42.1322,3328.11758872846
"12","REBENT","REBENT216",9.5834,42.1327,1603.54621964862
"13","REBENT","REBENT194",8.5769,42.1425,1045.10207446028
"14","REBENT","REBENT134",3.1725,42.4453,1351.30173848078
"15","REBENT","REBENT133",3.1724,42.4454,872.796308056249
"16","REBENT","REBENT132",3.14895,42.47861,3697.19821850241
"17","REBENT","REBENT131",3.142,42.48817,133554.10364412
"18","REBENT","REBENT129",3.0893,42.5317,681.312170824002
"19","REBENT","REBENT130",3.0894,42.5317,1280.453889269
"20","REBENT","REBENT214",9.5554,42.5427,1867.56346990126
"21","REBENT","REBENT199",8.75763,42.57678,3432.21534494665
"22","REBENT","REBENT197",8.7292,42.5799,3370.08828352165
"23","REBENT","REBENT198",8.7305,42.5799,3412.11182494239
"24","REBENT","REBENT213",9.49948,42.61848,2019.83063096669
"25","REBENT","REBENT205",9.285,42.6898,4461.39795822556
"26","REBENT","REBENT210",9.46,42.70592,3610.74712015816
"27","REBENT","REBENT209",9.3339,42.8014,4212.62671172603
"28","REBENT","REBENT127",3.0661,42.8518,914.756220994113
"29","REBENT","REBENT128",3.0661,42.8521,991.63296036309
"30","REBENT","REBENT211",9.4871,42.9645,2730.72156860856
"31","REBENT","REBENT212",9.4974,42.9833,3143.61382410027
"32","REBENT","REBENT176",6.4412,43.0031,362882.620349032
"33","REBENT","REBENT175",6.4333,43.0036,2499.6385051021
"34","REBENT","REBENT174",6.4279,43.007,2791.8292174327
"35","REBENT","REBENT171",6.2743,43.019,3215.13378219648
"36","REBENT","REBENT170",6.2199,43.0411,3506.62398907495
"37","REBENT","REBENT167",5.84888,43.04919,978.806226101487
"38","REBENT","REBENT172",6.3419,43.0749,2561.22651176847
"39","REBENT","REBENT169",5.965,43.0926,3790.88937535324
"40","REBENT","REBENT168",5.9472,43.0965,2276.93805817109
"41","REBENT","REBENT166",5.7798,43.1021,1311.76764832649
"42","REBENT","REBENT173",6.3868,43.1023,4260.6293360815
"43","REBENT","REBENT165",5.75075,43.11131,3059.42155176122
"44","REBENT","REBENT135",3.2044,43.1532,1580.02639780692
"45","REBENT","REBENT136",3.2045,43.1533,784.084782400369
"46","REBENT","REBENT164",5.6195,43.1683,186592.28674966
"47","REBENT","REBENT177",6.5604,43.17773,991.119047823879
"48","REBENT","REBENT160",5.38624,43.18948,1917.99312486998
"49","REBENT","REBENT159",5.3799,43.1959,2698.39686168963
"50","REBENT","REBENT162",5.5229,43.203,1142.20011304444
"51","REBENT","REBENT157",5.3473,43.2043,2560.09279619773
"52","REBENT","REBENT163",5.5372,43.2047,259.628221097273
"53","REBENT","REBENT158",5.3483,43.2082,834.548301623732
"54","REBENT","REBENT161",5.40357,43.21282,6263.41132982116
"55","REBENT","REBENT179",6.6955,43.229,5872.12257340715
"56","REBENT","REBENT137",3.4711,43.2391,1217.30666851919
"57","REBENT","REBENT156",5.3448,43.2562,845.020080513873
"58","REBENT","REBENT138",3.4781,43.2608,95023.1489723024
"59","REBENT","REBENT154",5.323,43.2658,2810.41670545976
"60","REBENT","REBENT139",3.5398,43.2715,1235.73551303139
"61","REBENT","REBENT178",6.6442,43.27535,5228.88677388082
"62","REBENT","REBENT152",5.1605,43.311,243829.552179117
"63","REBENT","REBENT153",5.1782,43.3214,1158.224957795
"64","REBENT","REBENT147",4.72022,43.33335,1305.39569463166
"65","REBENT","REBENT155",5.3269,43.3371,2802.82528674127
"66","REBENT","REBENT151",4.9293,43.3606,2499.83737757767
"67","REBENT","REBENT150",4.9291,43.3607,780.940033097407
"68","REBENT","REBENT141",3.78056,43.37162,2240.53081641254
"69","REBENT","REBENT140",3.7113,43.3772,817.802387150507
"70","REBENT","REBENT148",4.895,43.3855,3584.83494287177
"71","REBENT","REBENT149",4.8955,43.3855,4735.30139063012
"72","REBENT","REBENT180",6.74731,43.3988,2098.65317188652
"73","REBENT","REBENT181",6.75852,43.41131,1825.75244262584
"74","REBENT","REBENT146",4.50217,43.41333,2633.70082398527
"75","REBENT","REBENT183",6.8685,43.4223,235627.217585715
"76","REBENT","REBENT182",6.8667,43.4235,1717.81359861693
"77","REBENT","REBENT142",3.96538,43.43398,4200.81827535125
"78","REBENT","REBENT145",4.20583,43.43517,1206.65590788695
"79","REBENT","REBENT68",-1.59293,43.465,2693.54955964681
"80","REBENT","REBENT144",4.09904,43.51781,1354.33731971313
"81","REBENT","REBENT143",4.0533,43.526,3211.70258954704
"82","REBENT","REBENT184",6.96356,43.53138,929.582152092054
"83","REBENT","REBENT188",7.1433,43.5591,129860.928307701
"84","REBENT","REBENT187",7.1397,43.5595,1212.72052383866
"85","REBENT","REBENT186",7.1353,43.5941,19424.6151559845
"86","REBENT","REBENT185",7.1351,43.6131,699.016330300455
"87","REBENT","REBENT189",7.21944,43.64751,1328.77645135357
"88","REBENT","REBENT78",-1.42712,43.67324,27637.4609670582
"89","REBENT","REBENT77",-1.42987,43.67839,27009.3580764381
"90","REBENT","REBENT76",-1.43143,43.68061,38620.1834177295
"91","REBENT","REBENT190",7.2367,43.6808,777.708398505702
"92","REBENT","REBENT191",7.311,43.693,2268.76705471799
"93","REBENT","REBENT192",7.42983,43.7285,1435.12486151947
"94","REBENT","REBENT193",7.4948,43.7558,2025.36386886302
"95","REBENT","REBENT85",-1.25885,44.43158,435.189199556444
"96","REBENT","REBENT86",-1.23566,44.64,791.156190305108
"97","REBENT","REBENT100",-1.10333,44.6775,3047.31818044196
"98","REBENT","REBENT91",-1.19519,44.68576,15977.2614403368
"99","REBENT","REBENT99",-1.10428,44.70982,10686.9785717854
"100","REBENT","REBENT90",-1.19812,45.90127,9641.85254540459
"101","REBENT","REBENT88",-1.21439,45.94146,3860.98485279682
"102","REBENT","REBENT101",-1.08099,45.95315,3634.16331246973
"103","REBENT","REBENT102",-1.0798,45.95391,381.166765932086
"104","REBENT","REBENT87",-1.2146,45.96088,4388.51874437628
"105","REBENT","REBENT84",-1.25992,46.00816,7573.48089918423
"106","REBENT","REBENT79",-1.42383,46.20753,12375.1361022723
"107","REBENT","REBENT82",-1.30432,46.21231,5836.27255730074
"108","REBENT","REBENT83",-1.28351,46.2687,918.784661328443
"109","REBENT","REBENT53",-1.95633,46.60266,14651.3398392717
"110","REBENT","REBENT54",-1.92154,46.66936,10796.1625364547
"111","REBENT","REBENT46",-2.22009,46.68324,11284.2493742915
"112","REBENT","REBENT51",-2.0181,46.74567,27547.384917713
"113","REBENT","REBENT48",-2.17105,46.95994,86625.4163015466
"114","REBENT","REBENT49",-2.15118,47.03203,12640.4540116926
"115","REBENT","REBENT52",-2.00903,47.05622,26336.7937217324
"116","REBENT","REBENT44",-2.45294,47.13689,4167.22557345696
"117","REBENT","REBENT28",-3.13254,47.33133,15892.9756371063
"118","REBENT","REBENT41",-2.60486,47.36795,2100.96659104083
"119","REBENT","REBENT37",-2.84348,47.40835,2704.48997911742
"120","REBENT","REBENT43",-2.55249,47.47282,4216.71258347165
"121","REBENT","REBENT30",-3.05637,47.48157,6447.46375385186
"122","REBENT","REBENT38",-2.83527,47.49262,6254.17448043561
"123","REBENT","REBENT42",-2.58246,47.51677,10591.790736759
"124","REBENT","REBENT32",-2.93448,47.5258,48546.8678694467
"125","REBENT","REBENT33",-2.89819,47.526,12523.732993699
"126","REBENT","REBENT36",-2.87,47.53059,13482.7166285613
"127","REBENT","REBENT29",-3.12018,47.55918,17662.3016157252
"128","REBENT","REBENT34",-2.88336,47.56044,61585.687990227
"129","REBENT","REBENT27",-3.2818,47.64677,6390.81783026392
"130","REBENT","REBENT26",-3.32214,47.69302,23765.5165346606
"131","REBENT","REBENT25",-3.32953,47.70151,33674.3199854033
"132","REBENT","REBENT17",-4.00031,47.73497,22353.9219944788
"133","REBENT","REBENT21",-3.88412,47.79177,129714.399962935
"134","REBENT","REBENT18",-3.95782,47.82383,6515.12671997547
"135","REBENT","REBENT16",-4.01099,47.85064,100539.746861033
"136","REBENT","REBENT10",-4.3952,47.8639,1450.37083282397
"137","REBENT","REBENT13",-4.36423,47.88017,3934.18944374941
"138","REBENT","REBENT14",-4.32587,48.13465,3686.71327331542
"139","REBENT","REBENT7",-4.49109,48.21255,3080.39987566287
"140","REBENT","REBENT9",-4.44568,48.23238,12817.2691825795
"141","REBENT","REBENT1",-4.89377,48.25852,2317.15769506269
"142","REBENT","REBENT5",-4.58078,48.29685,5113.07884375189
"143","REBENT","REBENT11",-4.37115,48.32195,37069.2172877307
"144","REBENT","REBENT12",-4.37039,48.33104,14585.7524708915
"145","REBENT","REBENT8",-4.45419,48.33332,12110.7916393396
"146","REBENT","REBENT3",-4.76471,48.3733,4001.15687638937
"147","REBENT","REBENT2",-4.85428,48.3868,31965.3146584905
"148","REBENT","REBENT39",-2.68655,48.5514,13935.6163899664
"149","REBENT","REBENT40",-2.66785,48.5672,2300.87945733648
"150","REBENT","REBENT6",-4.56659,48.59894,18732.6774613979
"151","REBENT","REBENT4",-4.61237,48.60568,21087.3059679893
"152","REBENT","REBENT47",-2.18506,48.60865,6701.5055188551
"153","REBENT","REBENT58",-1.83801,48.626,6362.54762249061
"154","REBENT","REBENT45",-2.25006,48.6306,9906.4769067092
"155","REBENT","REBENT50",-2.13538,48.63685,1304.22554500442
"156","REBENT","REBENT62",-1.65689,48.64193,14807.0108743099
"157","REBENT","REBENT81",-1.39648,48.64827,6660.37915717049
"158","REBENT","REBENT72",-1.51331,48.64888,2182.09522749197
"159","REBENT","REBENT74",-1.50485,48.6518,4181.46381986408
"160","REBENT","REBENT80",-1.41412,48.65356,26033.9956974065
"161","REBENT","REBENT75",-1.45178,48.6554,5295.56331127986
"162","REBENT","REBENT15",-4.27853,48.65701,26769.3442970328
"163","REBENT","REBENT20",-3.91736,48.67812,29383.9029682431
"164","REBENT","REBENT24",-3.59488,48.67828,15142.6092383379
"165","REBENT","REBENT23",-3.6066,48.70828,1965.09570995473
"166","REBENT","REBENT22",-3.86618,48.70833,5423.8193046681
"167","REBENT","REBENT19",-3.93372,48.71222,21560.2145654644
"168","REBENT","REBENT71",-1.55219,48.71246,1173.73085864408
"169","RSMP","RSMP310",-7.92251,48.75353,936.24223341352
"170","REBENT","REBENT69",-1.57739,48.76832,2824.86164250976
"171","REBENT","REBENT64",-1.6189,48.77494,3868.02557802503
"172","REBENT","REBENT35",-2.87381,48.78728,4317.83363460488
"173","RSMP","RSMP240",-8.245,48.799,2007.42698284125
"174","RSMP","RSMP241",-8.24478,48.79962,1343.87144777497
"175","RSMP","RSMP319",-7.858,48.822,1705.92139675373
"176","RSMP","RSMP320",-7.85742,48.82256,2465.25632467103
"177","REBENT","REBENT31",-3.01935,48.82359,33949.2461030234
"178","RSMP","RSMP52",-9.25689,48.83809,843.676462962153
"179","RSMP","RSMP20",-9.38303,48.8511,238.671797495476
"180","RSMP","RSMP37",-9.34752,48.85259,198.984960301073
"181","RSMP","RSMP44",-9.29589,48.86342,462.894763267762
"182","RSMP","RSMP34",-9.35255,48.87001,190.043924629641
"183","RSMP","RSMP56",-9.24315,48.87259,737.896529803775
"184","REBENT","REBENT70",-1.577,48.87484,2601.73953384617
"185","REBENT","REBENT65",-1.61066,48.87538,2978.01936401041
"186","REBENT","REBENT57",-1.83884,48.87603,8691.5428639365
"187","RSMP","RSMP27",-9.36843,48.88058,1161.17982889733
"188","REBENT","REBENT59",-1.82816,48.8812,7011.64441131156
"189","RSMP","RSMP67",-9.18955,48.88274,958.258493285361
"190","RSMP","RSMP40",-9.33066,48.88432,151.515031808313
"191","RSMP","RSMP76",-9.1627,48.88765,564.301657318859
"192","RSMP","RSMP17",-9.38555,48.89123,106.449128335262
"193","RSMP","RSMP47",-9.28067,48.89502,1350.33548660452
"194","RSMP","RSMP79",-9.15588,48.90449,729.840095983366
"195","RSMP","RSMP89",-9.12884,48.90927,947.884944445017
"196","REBENT","REBENT61",-1.77972,48.9095,15850.1255000568
"197","RSMP","RSMP33",-9.35262,48.91226,611.529809548599
"198","RSMP","RSMP19",-9.3842,48.91251,999.537875475282
"199","RSMP","RSMP71",-9.18316,48.91277,367.719918800759
"200","RSMP","RSMP62",-9.21817,48.91346,1904.81156686296
"201","RSMP","RSMP43",-9.31289,48.91662,484.536985713913
"202","RSMP","RSMP83",-9.14866,48.92222,981.059137021942
"203","RSMP","RSMP50",-9.26492,48.92604,589.061718782771
