"","data","sta","x","y","AFDW"
"1","REBENT","REBENT203",9.1537,41.3894,123.108809091784
"2","REBENT","REBENT204",9.2436,41.4253,72.132854611246
"3","REBENT","REBENT201",9.008,41.4638,20.0260459715999
"4","REBENT","REBENT202",9.009,41.4639,16.1690360559319
"5","REBENT","REBENT207",9.2856,41.4677,65.0082270586881
"6","REBENT","REBENT206",9.2854,41.468,8.27563152443583
"7","REBENT","REBENT208",9.3146,41.6086,71.7170200274839
"8","REBENT","REBENT200",8.7964,41.8903,69.5201450852949
"9","REBENT","REBENT196",8.69533,41.90267,19.0231700037306
"10","REBENT","REBENT195",8.6086,42.1217,36.7982658655792
"11","REBENT","REBENT215",9.5806,42.1322,39.6971772499469
"12","REBENT","REBENT216",9.5834,42.1327,24.7131032749377
"13","REBENT","REBENT194",8.5769,42.1425,23.074120095097
"14","REBENT","REBENT134",3.1725,42.4453,19.9235367249357
"15","REBENT","REBENT133",3.1724,42.4454,10.821267369849
"16","REBENT","REBENT132",3.14895,42.47861,68.0182855475661
"17","REBENT","REBENT131",3.142,42.48817,3534.43048149297
"18","REBENT","REBENT129",3.0893,42.5317,5.65311530452888
"19","REBENT","REBENT130",3.0894,42.5317,27.55737885937
"20","REBENT","REBENT214",9.5554,42.5427,25.4043730244565
"21","REBENT","REBENT199",8.75763,42.57678,38.9302477082452
"22","REBENT","REBENT197",8.7292,42.5799,26.0855231858183
"23","REBENT","REBENT198",8.7305,42.5799,53.195397914051
"24","REBENT","REBENT213",9.49948,42.61848,32.7419912653737
"25","REBENT","REBENT205",9.285,42.6898,48.9698640111706
"26","REBENT","REBENT210",9.46,42.70592,54.4783268025297
"27","REBENT","REBENT209",9.3339,42.8014,56.9363788271215
"28","REBENT","REBENT127",3.0661,42.8518,14.1213625129891
"29","REBENT","REBENT128",3.0661,42.8521,13.4170510558073
"30","REBENT","REBENT211",9.4871,42.9645,31.5325101603968
"31","REBENT","REBENT212",9.4974,42.9833,39.5007092559424
"32","REBENT","REBENT176",6.4412,43.0031,7530.50439958978
"33","REBENT","REBENT175",6.4333,43.0036,33.0959532571159
"34","REBENT","REBENT174",6.4279,43.007,39.6066717666191
"35","REBENT","REBENT171",6.2743,43.019,63.6622214317844
"36","REBENT","REBENT170",6.2199,43.0411,88.7291664116621
"37","REBENT","REBENT167",5.84888,43.04919,17.7717221989606
"38","REBENT","REBENT172",6.3419,43.0749,37.0929650593997
"39","REBENT","REBENT169",5.965,43.0926,41.5890105500626
"40","REBENT","REBENT168",5.9472,43.0965,29.6006344086145
"41","REBENT","REBENT166",5.7798,43.1021,24.4052064561271
"42","REBENT","REBENT173",6.3868,43.1023,57.7055800166172
"43","REBENT","REBENT165",5.75075,43.11131,33.0897509944138
"44","REBENT","REBENT135",3.2044,43.1532,23.4530441260716
"45","REBENT","REBENT136",3.2045,43.1533,9.2430444527692
"46","REBENT","REBENT164",5.6195,43.1683,3138.09562262629
"47","REBENT","REBENT177",6.5604,43.17773,10.9461322553559
"48","REBENT","REBENT160",5.38624,43.18948,31.4223646131707
"49","REBENT","REBENT159",5.3799,43.1959,38.5422783536931
"50","REBENT","REBENT162",5.5229,43.203,14.2581503511086
"51","REBENT","REBENT157",5.3473,43.2043,37.8435057604245
"52","REBENT","REBENT163",5.5372,43.2047,5.95538125631743
"53","REBENT","REBENT158",5.3483,43.2082,4.19063609422268
"54","REBENT","REBENT161",5.40357,43.21282,151.333650196354
"55","REBENT","REBENT179",6.6955,43.229,66.4307322197179
"56","REBENT","REBENT137",3.4711,43.2391,23.7700681616011
"57","REBENT","REBENT156",5.3448,43.2562,11.245825294859
"58","REBENT","REBENT138",3.4781,43.2608,3389.85169379359
"59","REBENT","REBENT154",5.323,43.2658,51.0181467298091
"60","REBENT","REBENT139",3.5398,43.2715,30.7564269866442
"61","REBENT","REBENT178",6.6442,43.27535,46.2796432279867
"62","REBENT","REBENT152",5.1605,43.311,3639.61767122165
"63","REBENT","REBENT153",5.1782,43.3214,21.7243016781511
"64","REBENT","REBENT147",4.72022,43.33335,55.3610621877911
"65","REBENT","REBENT155",5.3269,43.3371,55.291003173881
"66","REBENT","REBENT151",4.9293,43.3606,45.9765120957422
"67","REBENT","REBENT150",4.9291,43.3607,10.1994112011589
"68","REBENT","REBENT141",3.78056,43.37162,32.425114438306
"69","REBENT","REBENT140",3.7113,43.3772,5.1791485697493
"70","REBENT","REBENT148",4.895,43.3855,57.6716177513322
"71","REBENT","REBENT149",4.8955,43.3855,62.1859859337975
"72","REBENT","REBENT180",6.74731,43.3988,29.0890192855229
"73","REBENT","REBENT181",6.75852,43.41131,19.5105356428469
"74","REBENT","REBENT146",4.50217,43.41333,63.0267486774149
"75","REBENT","REBENT183",6.8685,43.4223,4418.29219996822
"76","REBENT","REBENT182",6.8667,43.4235,18.0010625623529
"77","REBENT","REBENT142",3.96538,43.43398,110.342832950443
"78","REBENT","REBENT145",4.20583,43.43517,24.1996510110055
"79","REBENT","REBENT68",-1.59293,43.465,71.4149503112142
"80","REBENT","REBENT144",4.09904,43.51781,28.1272239407085
"81","REBENT","REBENT143",4.0533,43.526,48.3560844250145
"82","REBENT","REBENT184",6.96356,43.53138,12.6130884042246
"83","REBENT","REBENT188",7.1433,43.5591,2194.81385206923
"84","REBENT","REBENT187",7.1397,43.5595,22.3360049304571
"85","REBENT","REBENT186",7.1353,43.5941,462.614743988219
"86","REBENT","REBENT185",7.1351,43.6131,10.6558512007853
"87","REBENT","REBENT189",7.21944,43.64751,38.9378109542482
"88","REBENT","REBENT78",-1.42712,43.67324,1042.09247852232
"89","REBENT","REBENT77",-1.42987,43.67839,1079.08143660438
"90","REBENT","REBENT76",-1.43143,43.68061,1499.68227534773
"91","REBENT","REBENT190",7.2367,43.6808,14.9668374605625
"92","REBENT","REBENT191",7.311,43.693,41.9874140207436
"93","REBENT","REBENT192",7.42983,43.7285,18.9578104441068
"94","REBENT","REBENT193",7.4948,43.7558,23.3252028023116
"95","REBENT","REBENT85",-1.25885,44.43158,7.39513147712269
"96","REBENT","REBENT86",-1.23566,44.64,5.68301510462207
"97","REBENT","REBENT100",-1.10333,44.6775,77.6142486826023
"98","REBENT","REBENT91",-1.19519,44.68576,446.837722698155
"99","REBENT","REBENT99",-1.10428,44.70982,309.237454846412
"100","REBENT","REBENT90",-1.19812,45.90127,459.352360592579
"101","REBENT","REBENT88",-1.21439,45.94146,147.200613006703
"102","REBENT","REBENT101",-1.08099,45.95315,115.299653111565
"103","REBENT","REBENT102",-1.0798,45.95391,13.3579488266746
"104","REBENT","REBENT87",-1.2146,45.96088,95.1583860432809
"105","REBENT","REBENT84",-1.25992,46.00816,236.707248594742
"106","REBENT","REBENT79",-1.42383,46.20753,365.081368277528
"107","REBENT","REBENT82",-1.30432,46.21231,176.015421999856
"108","REBENT","REBENT83",-1.28351,46.2687,36.0792452985763
"109","REBENT","REBENT53",-1.95633,46.60266,410.845570281029
"110","REBENT","REBENT54",-1.92154,46.66936,492.708772408931
"111","REBENT","REBENT46",-2.22009,46.68324,325.78483005957
"112","REBENT","REBENT51",-2.0181,46.74567,1105.34989450319
"113","REBENT","REBENT48",-2.17105,46.95994,1611.30679737913
"114","REBENT","REBENT49",-2.15118,47.03203,326.103841072068
"115","REBENT","REBENT52",-2.00903,47.05622,414.631603733543
"116","REBENT","REBENT44",-2.45294,47.13689,94.2212582429575
"117","REBENT","REBENT28",-3.13254,47.33133,247.308592753933
"118","REBENT","REBENT41",-2.60486,47.36795,76.3755591659299
"119","REBENT","REBENT37",-2.84348,47.40835,34.1261217975611
"120","REBENT","REBENT43",-2.55249,47.47282,114.04351785172
"121","REBENT","REBENT30",-3.05637,47.48157,165.98382596769
"122","REBENT","REBENT38",-2.83527,47.49262,217.326801731083
"123","REBENT","REBENT42",-2.58246,47.51677,279.633362260023
"124","REBENT","REBENT32",-2.93448,47.5258,184.919406100789
"125","REBENT","REBENT33",-2.89819,47.526,218.633611878417
"126","REBENT","REBENT36",-2.87,47.53059,383.692010344234
"127","REBENT","REBENT29",-3.12018,47.55918,601.39468931922
"128","REBENT","REBENT34",-2.88336,47.56044,1658.37130495492
"129","REBENT","REBENT27",-3.2818,47.64677,167.863622144622
"130","REBENT","REBENT26",-3.32214,47.69302,925.522064273312
"131","REBENT","REBENT25",-3.32953,47.70151,982.585655536127
"132","REBENT","REBENT17",-4.00031,47.73497,395.342851230213
"133","REBENT","REBENT21",-3.88412,47.79177,217.178133593478
"134","REBENT","REBENT18",-3.95782,47.82383,118.077598464434
"135","REBENT","REBENT16",-4.01099,47.85064,5975.21756239865
"136","REBENT","REBENT10",-4.3952,47.8639,37.1929929133457
"137","REBENT","REBENT13",-4.36423,47.88017,145.06249778075
"138","REBENT","REBENT14",-4.32587,48.13465,162.580372562517
"139","REBENT","REBENT7",-4.49109,48.21255,125.699261104865
"140","REBENT","REBENT9",-4.44568,48.23238,358.588388386542
"141","REBENT","REBENT1",-4.89377,48.25852,36.6981289780519
"142","REBENT","REBENT5",-4.58078,48.29685,56.4997323785618
"143","REBENT","REBENT11",-4.37115,48.32195,252.149823755291
"144","REBENT","REBENT12",-4.37039,48.33104,647.429171456007
"145","REBENT","REBENT8",-4.45419,48.33332,130.41993480094
"146","REBENT","REBENT3",-4.76471,48.3733,233.437933948861
"147","REBENT","REBENT2",-4.85428,48.3868,564.687913265472
"148","REBENT","REBENT39",-2.68655,48.5514,498.250222669938
"149","REBENT","REBENT40",-2.66785,48.5672,48.8683830905418
"150","REBENT","REBENT6",-4.56659,48.59894,695.261470637159
"151","REBENT","REBENT4",-4.61237,48.60568,546.752398447902
"152","REBENT","REBENT47",-2.18506,48.60865,120.392215863322
"153","REBENT","REBENT58",-1.83801,48.626,261.486143906587
"154","REBENT","REBENT45",-2.25006,48.6306,219.559133574046
"155","REBENT","REBENT50",-2.13538,48.63685,29.1773320312498
"156","REBENT","REBENT62",-1.65689,48.64193,507.981860507525
"157","REBENT","REBENT81",-1.39648,48.64827,48.9834658322525
"158","REBENT","REBENT72",-1.51331,48.64888,45.3691408815839
"159","REBENT","REBENT74",-1.50485,48.6518,199.083214676977
"160","REBENT","REBENT80",-1.41412,48.65356,237.668725794466
"161","REBENT","REBENT75",-1.45178,48.6554,60.6343155947987
"162","REBENT","REBENT15",-4.27853,48.65701,507.445468823515
"163","REBENT","REBENT20",-3.91736,48.67812,970.436833207363
"164","REBENT","REBENT24",-3.59488,48.67828,314.758792274956
"165","REBENT","REBENT23",-3.6066,48.70828,54.1294761745053
"166","REBENT","REBENT22",-3.86618,48.70833,212.965592123837
"167","REBENT","REBENT19",-3.93372,48.71222,340.111275387851
"168","REBENT","REBENT71",-1.55219,48.71246,58.3563624329528
"169","RSMP","RSMP310",-7.92251,48.75353,4.69387257999615
