"","data","sta","x","y","TotalDens"
"1","REBENT","REBENT203",9.1537,41.3894,26230
"2","REBENT","REBENT204",9.2436,41.4253,11540
"3","REBENT","REBENT201",9.008,41.4638,6460
"4","REBENT","REBENT202",9.009,41.4639,4450
"5","REBENT","REBENT207",9.2856,41.4677,7485
"6","REBENT","REBENT206",9.2854,41.468,3100
"7","REBENT","REBENT208",9.3146,41.6086,6140
"8","REBENT","REBENT200",8.7964,41.8903,9520
"9","REBENT","REBENT196",8.69533,41.90267,3330
"10","REBENT","REBENT195",8.6086,42.1217,3160
"11","REBENT","REBENT215",9.5806,42.1322,6490
"12","REBENT","REBENT216",9.5834,42.1327,4895
"13","REBENT","REBENT194",8.5769,42.1425,1830
"14","REBENT","REBENT134",3.1725,42.4453,9340
"15","REBENT","REBENT133",3.1724,42.4454,3280
"16","REBENT","REBENT132",3.14895,42.47861,6960
"17","REBENT","REBENT131",3.142,42.48817,237876.666666667
"18","REBENT","REBENT129",3.0893,42.5317,3670
"19","REBENT","REBENT130",3.0894,42.5317,8545
"20","REBENT","REBENT214",9.5554,42.5427,4450
"21","REBENT","REBENT199",8.75763,42.57678,7450
"22","REBENT","REBENT197",8.7292,42.5799,6860
"23","REBENT","REBENT198",8.7305,42.5799,6340
"24","REBENT","REBENT213",9.49948,42.61848,3280
"25","REBENT","REBENT205",9.285,42.6898,9250
"26","REBENT","REBENT210",9.46,42.70592,5420
"27","REBENT","REBENT209",9.3339,42.8014,10340
"28","REBENT","REBENT127",3.0661,42.8518,2940
"29","REBENT","REBENT128",3.0661,42.8521,1095
"30","REBENT","REBENT211",9.4871,42.9645,4520
"31","REBENT","REBENT212",9.4974,42.9833,6350
"32","REBENT","REBENT176",6.4412,43.0031,717600
"33","REBENT","REBENT175",6.4333,43.0036,5505
"34","REBENT","REBENT174",6.4279,43.007,1810
"35","REBENT","REBENT171",6.2743,43.019,6480
"36","REBENT","REBENT170",6.2199,43.0411,5310
"37","REBENT","REBENT167",5.84888,43.04919,2790
"38","REBENT","REBENT172",6.3419,43.0749,3680
"39","REBENT","REBENT169",5.965,43.0926,6630
"40","REBENT","REBENT168",5.9472,43.0965,3220
"41","REBENT","REBENT166",5.7798,43.1021,2890
"42","REBENT","REBENT173",6.3868,43.1023,7855
"43","REBENT","REBENT165",5.75075,43.11131,6740
"44","REBENT","REBENT135",3.2044,43.1532,2190
"45","REBENT","REBENT136",3.2045,43.1533,1930
"46","REBENT","REBENT164",5.6195,43.1683,452000
"47","REBENT","REBENT177",6.5604,43.17773,3150
"48","REBENT","REBENT160",5.38624,43.18948,6080
"49","REBENT","REBENT159",5.3799,43.1959,6910
"50","REBENT","REBENT162",5.5229,43.203,3750
"51","REBENT","REBENT157",5.3473,43.2043,10820
"52","REBENT","REBENT163",5.5372,43.2047,580
"53","REBENT","REBENT158",5.3483,43.2082,3440
"54","REBENT","REBENT161",5.40357,43.21282,6280
"55","REBENT","REBENT179",6.6955,43.229,8490
"56","REBENT","REBENT137",3.4711,43.2391,1570
"57","REBENT","REBENT156",5.3448,43.2562,2060
"58","REBENT","REBENT138",3.4781,43.2608,264400
"59","REBENT","REBENT154",5.323,43.2658,8565
"60","REBENT","REBENT139",3.5398,43.2715,1145
"61","REBENT","REBENT178",6.6442,43.27535,11060
"62","REBENT","REBENT152",5.1605,43.311,434840
"63","REBENT","REBENT153",5.1782,43.3214,3820
"64","REBENT","REBENT147",4.72022,43.33335,1883.33333333333
"65","REBENT","REBENT155",5.3269,43.3371,5790
"66","REBENT","REBENT151",4.9293,43.3606,2375
"67","REBENT","REBENT150",4.9291,43.3607,1040
"68","REBENT","REBENT141",3.78056,43.37162,3530
"69","REBENT","REBENT140",3.7113,43.3772,1170
"70","REBENT","REBENT148",4.895,43.3855,6280
"71","REBENT","REBENT149",4.8955,43.3855,7835
"72","REBENT","REBENT180",6.74731,43.3988,4000
"73","REBENT","REBENT181",6.75852,43.41131,3510
"74","REBENT","REBENT146",4.50217,43.41333,5176.66666666667
"75","REBENT","REBENT183",6.8685,43.4223,776247.5
"76","REBENT","REBENT182",6.8667,43.4235,2360
"77","REBENT","REBENT142",3.96538,43.43398,8550
"78","REBENT","REBENT145",4.20583,43.43517,2740
"79","REBENT","REBENT68",-1.59293,43.465,4640
"80","REBENT","REBENT144",4.09904,43.51781,3580
"81","REBENT","REBENT143",4.0533,43.526,6730
"82","REBENT","REBENT184",6.96356,43.53138,3380
"83","REBENT","REBENT188",7.1433,43.5591,271047.5
"84","REBENT","REBENT187",7.1397,43.5595,2250
"85","REBENT","REBENT186",7.1353,43.5941,8560
"86","REBENT","REBENT185",7.1351,43.6131,2140
"87","REBENT","REBENT189",7.21944,43.64751,2480
"88","REBENT","REBENT78",-1.42712,43.67324,75862.5
"89","REBENT","REBENT77",-1.42987,43.67839,196936.994949495
"90","REBENT","REBENT76",-1.43143,43.68061,26475
