"","data","sta","x","y","AFDW_Dep"
"1","HELCOM","HELCOM1",8.26716667,56.72266667,42.1268472630411
"2","HELCOM","HELCOM10",9.23833333,56.65716667,222.075764262027
"3","HELCOM","HELCOM100",11.48583333,56.205,19.0157842889891
"4","HELCOM","HELCOM101",11.5,57.83333333,1.86720159474427
"5","HELCOM","HELCOM102",11.51666667,57.75,2.87846408411977
"6","HELCOM","HELCOM103",11.525,57.54998333,23.7366029994205
"7","HELCOM","HELCOM104",11.5309,56.75613333,83.5497218434573
"8","HELCOM","HELCOM105",11.5321,55.14783333,98.6425037496677
"9","HELCOM","HELCOM106",11.5685,56.54033333,10.8447061205707
"10","HELCOM","HELCOM107",11.622,56.75533333,4.7585267810645
"11","HELCOM","HELCOM108",11.625,57.60916667,14.1392956992553
"12","HELCOM","HELCOM109",11.6605,56.84916667,40.9106493898844
"13","HELCOM","HELCOM11",9.52571667,55.4926,1576.82067213899
"14","HELCOM","HELCOM110",11.66665,57.19166667,6.30258974849112
"15","HELCOM","HELCOM111",11.6787,55.18253333,184.483284408929
"16","HELCOM","HELCOM112",11.69,57.66998333,32.9491214821094
"17","HELCOM","HELCOM113",11.7205,56.75416667,190.845486441509
"18","HELCOM","HELCOM114",11.72131667,56.18543333,26.5876194404361
"19","HELCOM","HELCOM115",11.7555,55.75916667,681.654331593194
"20","HELCOM","HELCOM116",11.79516667,55.86616667,103.100534482236
"21","HELCOM","HELCOM117",11.80416667,57.505,23.8802022492202
"22","HELCOM","HELCOM118",11.80545,56.30983333,195.186337435276
"23","HELCOM","HELCOM119",11.82166667,55.71333333,150.358954812329
"24","HELCOM","HELCOM12",9.63435,55.69998333,54.8842646762748
"25","HELCOM","HELCOM120",11.82666667,56.04333333,178.83032599074
"26","HELCOM","HELCOM121",11.86273333,54.70715,34.9808078858496
"27","HELCOM","HELCOM122",11.87695,55.81305,39.6969284159912
"28","HELCOM","HELCOM123",11.916,56.57283333,5.23793639637429
"29","HELCOM","HELCOM124",11.97166667,56.23666667,32.2946287325163
"30","HELCOM","HELCOM125",11.98831667,57.30331667,12.8061284095051
"31","HELCOM","HELCOM126",12.02666667,55.92666667,89.8404380482518
"32","HELCOM","HELCOM127",12.05443333,55.15871667,35.7380832685081
"33","HELCOM","HELCOM128",12.06233333,55.71533333,591.927906680971
"34","HELCOM","HELCOM129",12.0745,56.54216667,156.64822544476
"35","HELCOM","HELCOM13",9.63698333,57.01471667,1546.56467195127
"36","HELCOM","HELCOM130",12.11666667,56.66665,23.3014707540262
"37","HELCOM","HELCOM131",12.11666667,56.66666667,46.0665754490863
"38","HELCOM","HELCOM132",12.22708333,54.99996667,41.0210522824782
"39","HELCOM","HELCOM133",12.29715,54.97716667,32.1791535127391
"40","HELCOM","HELCOM134",12.34491667,56.1544,57.8035379524434
"41","HELCOM","HELCOM135",12.34681667,55.17456667,79.2863979857699
"42","HELCOM","HELCOM136",12.39833333,55.49333333,84.4153118514617
"43","HELCOM","HELCOM137",12.56033333,55.553,105.54707595551
"44","HELCOM","HELCOM138",12.56333333,55.93666667,28.4712972032045
"45","HELCOM","HELCOM139",12.62,55.97666667,58.4697250140789
"46","HELCOM","HELCOM14",9.66136667,57.03108333,32.623508473302
"47","HELCOM","HELCOM140",12.64066667,56.61666667,7.9066653504102
"48","HELCOM","HELCOM141",12.66866667,55.85083333,44.9901572211688
"49","HELCOM","HELCOM142",13.11655,55.23325,6.00516378513869
"50","HELCOM","HELCOM143",13.11666667,55.23316667,0.668948230579334
"51","HELCOM","HELCOM144",13.11668333,55.23318333,6.16062580586364
"52","HELCOM","HELCOM145",13.11675,55.23321667,3.76722608604038
"53","HELCOM","HELCOM146",13.1665,55.291,1.63140665266785
"54","HELCOM","HELCOM147",13.1667,55.29093333,6.3918327917739
"55","HELCOM","HELCOM148",13.1667,55.29098333,3.52798036974439
"56","HELCOM","HELCOM149",13.16691667,55.291,3.52833182603665
"57","HELCOM","HELCOM15",9.6665,57.03513333,8.1528837124786
"58","HELCOM","HELCOM150",13.26121667,55.12398333,0.538376180514817
"59","HELCOM","HELCOM151",13.2613,55.1238,7.82775027266296
"60","HELCOM","HELCOM152",13.26148333,55.12388333,7.24611790185148
"61","HELCOM","HELCOM153",13.26151667,55.12365,0.982746595157982
"62","HELCOM","HELCOM154",13.26166667,55.12383333,1.88499733371656
"63","HELCOM","HELCOM155",13.26633333,55.22483333,0.708451990219138
"64","HELCOM","HELCOM156",13.26655,55.22476667,0.625020581798369
"65","HELCOM","HELCOM157",13.26656667,55.22478333,0.00710532440414736
"66","HELCOM","HELCOM158",13.2666,55.2248,0.675599279593184
"67","HELCOM","HELCOM159",13.26678333,55.22468333,0.201901506510975
"68","HELCOM","HELCOM16",9.69213333,55.38555,14.551938900212
"69","HELCOM","HELCOM160",13.3,55,0.465918986918136
"70","HELCOM","HELCOM161",13.30951667,55.27815,2.42532677477593
"71","HELCOM","HELCOM162",13.30973333,55.27826667,2.85496905857272
"72","HELCOM","HELCOM163",13.30978333,55.27818333,6.66366682104428
"73","HELCOM","HELCOM164",13.30983333,55.27816667,0.505934083653043
"74","HELCOM","HELCOM165",13.3099,55.2781,3.56460713117617
"75","HELCOM","HELCOM166",13.33316667,55.23333333,0.0240147005404719
"76","HELCOM","HELCOM167",13.33323333,55.23338333,0.104425081292461
"77","HELCOM","HELCOM168",13.33348333,55.23343333,0.110207873021035
"78","HELCOM","HELCOM169",13.3335,55.2334,0.18665656746525
"79","HELCOM","HELCOM17",9.74366667,55.38933333,174.948434382087
"80","HELCOM","HELCOM170",13.4181,55.22465,0.125956492764682
"81","HELCOM","HELCOM171",13.4181,55.22468333,0.329312316968513
"82","HELCOM","HELCOM172",13.41816667,55.22466667,0.00541562397434292
"83","HELCOM","HELCOM173",13.4182,55.2246,0.0105120111666002
"84","HELCOM","HELCOM174",13.4184,55.22455,1.1844270711129
"85","HELCOM","HELCOM175",13.4998,55.2501,0.748965107517468
"86","HELCOM","HELCOM176",13.5,55.25011667,0.0180848093016897
"87","HELCOM","HELCOM177",13.5,55.25016667,0.101980070469804
"88","HELCOM","HELCOM178",13.50003333,55.25003333,0.0973152096408425
"89","HELCOM","HELCOM179",13.50018333,55.24988333,0.207851419948475
"90","HELCOM","HELCOM18",9.78211667,54.97871667,0.309244132987374
"91","HELCOM","HELCOM180",13.63348333,55.225,0.113989048811024
